,category,W or C,RGB
bright spring,fair (I) NW,warm,"253,227,204"
,fair (I) N,warm,"244,217,200"
,light(II) N,warm,"236,207,167"
,light (II) NW,warm,"236,210,167"
,medium (III) NW,warm,"225,174,127"
,medium (III) N,warm,"224,169,129"
,tan (IV) NW,warm,"196,130,88"
,tan (IV) N,warm,"196,121,88"
True spring,fair(I),warm,"248,222,191"
,light(II),warm,"236,213,166"
,medium(III),warm,"224,169,129"
,tan(IV),warm,"196,135,88"
light spring,fair (I) NW,warm,"253,227,204"
,fair (I) N,warm,"244,217,200"
,light (II) NW,warm,"236,210,167"
,medium (III) NW,warm,"225,174,127"
,medium (III) N,warm,"224,169,129"
Light summer,fair (1) NC,cool,"244,229,217"
,fair (1) N,cool,"244,217,200"
,light (II) NC,cool,"233,206,170"
,light (II) N,cool,"236,207,167"
,medium (III) NC,cool,"217,169,134"
,medium (N),cool,"224,169,129"
soft autumn,fair (I) NW,warm,"253,227,204"
,fair (I) N,warm,"244,217,200"
,light (II) NW,warm,"236,210,167"
,medium (III) NW,warm,"225,174,127"
,medium (III) N,warm,"224,169,129"
,tan (IV) NW,warm,"196,130,88"
,tan (IV) N,warm,"196,121,88"
true autumn,fair(I) W,warm,"248,222,191"
,fair (II) W,warm,"236,213,166)"
,light (II) W,warm,"225,180,128"
,medium (III) W,warm,"225,180,128"
,tan (IV) W,warm,"196,135,88"
,dark (V) W,warm,"130,84,45"
dark autmn,light (II) NW,warm,
,light (II) N,warm,
,medium (III)  NW,warm,
,medium (III)  N,warm,
,tan (IV) NW,warm,
,tan (IV) N,warm,
,dark (V) NW,warm,"(132,89,67)"
,dark (V) N,warm,"(132,80,68)"
,deep (VI) W,warm,"(90,64,44)"
,deep (VI) NW,warm,"(89,58,43)"
,deep (VI) N,warm,"(87,51,44)"
dark winter,fair (1) NC,cool,"244,229,217"
,fair (1) N,cool,"244,217,200"
,light (II) NC,cool,"233,206,170"
,light (II) N,cool,"236,207,167"
,medium (III) NC,cool,"217,169,134"
,medium (N),cool,"224,169,129"
,tan (IV) NC,cool,"196,130,88"
,tan (IV) N,cool,"196,121,88"
,dark V NC,cool,"126,80,71"
,dark V N,cool,"126,80,71"
true winter,fair (i) C,cool ,"238,219,215"
,light (II) C,cool,"232,205,170"
,medium (III) C,cool,"214,174,149"
,tan (IV) C,cool,"201,146,115"
,dark (V),cool,"116,79,79"
,,,
bright winter,fair (1) NC,cool,"244,229,217"
,fair (1) N,cool,"244,217,200"
,light (II) NC,cool,"233,206,170"
,light (II) N,cool,"236,207,167"
,medium (III) NC,cool,"217,169,134"
,medium (N),cool,"224,169,129"
,deep (VI) C,cool,"73,51,55"
,deep (VI) NC,cool,"82,50,48"
,deep (VI) N,cool,"87,51,44"